age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,age_cat,sex_cat,income,age_cat_private,sex_cat_private
Junior, Private,80616, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,27, United-States,0,1,0,0,1
Junior, Private,240686, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,25, United-States,0,0,0,0,0
Senior, Private,78530, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Self-emp-inc,231002, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States,1,1,1,1,1
Senior, Private,125461, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,1,1,1,1,1
Junior, Private,209949, 11th,7, Never-married, Sales, Own-child, White, Female,0,1602,12, United-States,0,0,0,0,0
Senior, Self-emp-not-inc,182177, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States,1,1,1,1,1
Senior, Private,261192, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States,1,1,0,1,1
Senior, Private,173987, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Local-gov,311080, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,1,1,1,1,1
Senior, Private,284741, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States,1,0,0,1,0
Senior, Private,158508, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,36, United-States,1,0,0,1,0
Senior, Private,219591, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,1,1,0,1,1
Senior, Private,238397, Bachelors,13, Divorced, Priv-house-serv, Unmarried, White, Female,0,0,24, United-States,1,0,0,1,0
Senior, Private,452402, Some-college,10, Separated, Exec-managerial, Unmarried, Black, Female,0,0,60, United-States,1,0,0,1,0
Senior, Self-emp-not-inc,134737, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,70, United-States,1,1,1,1,1
Junior, Private,228686, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,45, United-States,0,1,0,0,1
Senior, Private,277455, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Private,430554, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1,1,1,1,1
Junior, Private,165315, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,37, United-States,0,0,0,0,0
Junior, Private,397962, HS-grad,9, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,40, United-States,0,0,0,0,0
Senior, Private,248619, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Private,114079, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States,1,1,0,1,1
Senior, Private,268575, HS-grad,9, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Vietnam,1,1,0,1,1
Senior, Private,227282, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States,1,1,0,1,1
Senior, Local-gov,210164, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1740,40, United-States,1,1,0,1,1
Senior, Private,88278, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,50, United-States,1,1,1,1,1
Senior, Private,124094, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland,1,1,0,1,1
Junior, Private,170720, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,0,1,0,0,1
Senior, Self-emp-not-inc,227890, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States,1,1,1,1,1
Senior, Private,186188, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, Iran,1,0,0,1,0
Junior, Self-emp-not-inc,174714, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0,1,0,0,1
Senior, Private,159589, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,85, United-States,1,1,0,1,1
Senior, Private,412435, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, Outlying-US(Guam-USVI-etc),1,0,0,1,0
Junior, Private,148315, Some-college,10, Separated, Craft-repair, Own-child, White, Male,0,0,40, United-States,0,1,0,0,1
Junior, Private,180052, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,0,1,0,0,1
Junior, Private,278915, 12th,8, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,52, United-States,0,0,0,0,0
Senior, Private,137658, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States,1,0,0,1,0
Senior, Self-emp-not-inc,192813, Masters,14, Widowed, Sales, Not-in-family, White, Male,0,0,45, United-States,1,1,0,1,1
Junior, Private,205830, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, El-Salvador,0,0,0,0,0
Senior, Private,242984, Some-college,10, Separated, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Private,225970, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1,1,1,1,1
Senior, Self-emp-not-inc,286146, HS-grad,9, Married-spouse-absent, Other-service, Unmarried, Black, Female,0,0,40, United-States,1,0,0,1,1
Senior, Private,377283, Bachelors,13, Separated, Sales, Not-in-family, White, Female,0,0,50, United-States,1,0,1,1,0
Senior, Self-emp-not-inc,39986, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Private,307468, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States,1,1,0,1,1
Senior, Private,103980, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States,1,1,0,1,1
Senior, Private,168675, HS-grad,9, Separated, Transport-moving, Own-child, White, Male,0,0,50, United-States,1,1,0,1,1
Senior, Private,263130, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,1,0,0,1,0
Senior, Private,127610, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States,1,0,1,1,0
Senior, Private,172865, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States,1,1,0,1,1
Senior, Private,252392, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico,1,1,0,1,1
Senior, Private,147548, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Private,259307, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1,1,1,1,1
Senior, Federal-gov,213140, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States,1,1,1,1,1
Senior, Private,87556, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States,1,1,1,1,1
Senior, Self-emp-inc,140988, Bachelors,13, Married-civ-spouse, Sales, Other-relative, Asian-Pac-Islander, Male,0,0,45, India,1,1,0,1,1
Junior, Local-gov,430828, Some-college,10, Separated, Exec-managerial, Unmarried, Black, Male,0,0,40, United-States,0,1,0,0,1
Senior, Private,100219, Assoc-acdm,12, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,45, United-States,1,1,0,1,1
Senior, State-gov,81853, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, United-States,1,0,1,1,0
Senior, Self-emp-not-inc,182926, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Private,272209, HS-grad,9, Divorced, Priv-house-serv, Unmarried, Black, Female,0,0,99, United-States,1,0,0,1,0
Senior, Private,239865, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,45, United-States,1,1,1,1,1
Senior, Self-emp-not-inc,226215, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, United-States,1,1,0,1,1
Senior, Private,156266, HS-grad,9, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, United-States,1,1,0,1,1
Senior, Private,177955, 5th-6th,3, Never-married, Priv-house-serv, Other-relative, White, Female,2176,0,40, El-Salvador,1,0,0,1,0
Junior, Private,52262, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States,0,1,0,0,1
Junior, State-gov,177526, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,15, United-States,0,1,0,0,1
Junior, Private,156874, 12th,8, Never-married, Other-service, Own-child, White, Male,0,0,27, United-States,0,1,0,0,1
Senior, Local-gov,102936, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,55, United-States,1,0,0,1,0
Senior, Private,287315, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Self-emp-inc,90693, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States,1,1,0,1,1
Senior, Local-gov,183168, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,43, United-States,1,0,0,1,0
Senior, Private,498325, Assoc-acdm,12, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States,1,1,0,1,1
Senior, Private,186420, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,0,0,35, United-States,1,0,0,1,0
Senior, Private,102953, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7298,0,55, United-States,1,1,1,1,1
Senior, Private,103395, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,1,1,1,1,1
Senior, Private,367314, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,1,0,0,1,1
Senior, Private,172186, Some-college,10, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Private,194141, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1,1,0,1,1
Senior, Private,271795, 11th,7, Divorced, Craft-repair, Not-in-family, White, Male,0,0,49, United-States,1,1,0,1,1
Senior, Private,181810, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,4064,0,40, United-States,1,1,0,1,1
Senior, Private,119272, 10th,6, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States,1,1,0,1,1
Junior, Private,291979, 11th,7, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0,1,0,0,1
Senior, Private,172571, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1,1,0,1,1
Senior, Self-emp-not-inc,394927, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States,1,1,0,1,1
Senior, Private,229051, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,37, United-States,1,1,0,1,1
Senior, Private,204074, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States,1,1,0,1,1
Senior, Private,247043, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,1,1,1,1,1
Senior, Private,196564, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,1,1,0,1,1
Senior, Private,287317, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, Black, Male,0,0,32, United-States,1,1,0,1,1
Senior, Self-emp-not-inc,249368, HS-grad,9, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States,1,1,0,1,1
Senior, Private,134152, HS-grad,9, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,1,1,0,1,1
Junior, Private,159567, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States,0,1,0,0,1
Junior, Private,41865, 10th,6, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States,0,0,0,0,0
Senior, Private,291568, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, United-States,1,1,0,1,1
Senior, Self-emp-not-inc,134768, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1,1,1,1,1
Junior, Private,63734, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States,0,1,0,0,1
Junior, Private,48347, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States,0,1,0,0,1
Senior, Self-emp-inc,80249, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,72, United-States,1,1,0,1,1
Senior, State-gov,55568, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,1,0,0,1,0
Senior, Private,423616, Assoc-voc,11, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,36, United-States,1,0,1,1,0
